CD45RA
CD45RO
 IL12R¦Â2
 IL12R¦Â2
 NK1.1
 CD25
TCR¦Ã/¦Ä
ROR¦Ãt
TCRV¦Á24
 TCRV¦Â11
 CD45RA
 CD45RO
